,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population,total_tests,total_vaccinations,people_vaccinated,fatality_rate,pct_pop_infected,mortality_rate
76616,Africa,Nigeria,2020-02-28,1.0,1.0,,,211400704.0,,,,,0.0,
76617,Africa,Nigeria,2020-02-29,1.0,0.0,,,211400704.0,,,,,0.0,
76618,Africa,Nigeria,2020-03-01,1.0,0.0,,,211400704.0,,,,,0.0,
76619,Africa,Nigeria,2020-03-02,1.0,0.0,,,211400704.0,,,,,0.0,
76620,Africa,Nigeria,2020-03-03,1.0,0.0,,,211400704.0,,,,,0.0,
76621,Africa,Nigeria,2020-03-04,1.0,0.0,,,211400704.0,,,,,0.0,
76622,Africa,Nigeria,2020-03-05,1.0,0.0,,,211400704.0,,,,,0.0,
76623,Africa,Nigeria,2020-03-06,1.0,0.0,,,211400704.0,,,,,0.0,
76624,Africa,Nigeria,2020-03-07,1.0,0.0,,,211400704.0,,,,,0.0,
76625,Africa,Nigeria,2020-03-08,1.0,0.0,,,211400704.0,,,,,0.0,
76626,Africa,Nigeria,2020-03-09,2.0,1.0,,,211400704.0,,,,,0.0,
76627,Africa,Nigeria,2020-03-10,2.0,0.0,,,211400704.0,,,,,0.0,
76628,Africa,Nigeria,2020-03-11,2.0,0.0,,,211400704.0,,,,,0.0,
76629,Africa,Nigeria,2020-03-12,2.0,0.0,,,211400704.0,,,,,0.0,
76630,Africa,Nigeria,2020-03-13,2.0,0.0,,,211400704.0,,,,,0.0,
76631,Africa,Nigeria,2020-03-14,2.0,0.0,,,211400704.0,,,,,0.0,
76632,Africa,Nigeria,2020-03-15,2.0,0.0,,,211400704.0,,,,,0.0,
76633,Africa,Nigeria,2020-03-16,2.0,0.0,,,211400704.0,,,,,0.0,
76634,Africa,Nigeria,2020-03-17,3.0,1.0,,,211400704.0,,,,,0.0,
76635,Africa,Nigeria,2020-03-18,8.0,5.0,,,211400704.0,,,,,0.0,
76636,Africa,Nigeria,2020-03-19,8.0,0.0,,,211400704.0,,,,,0.0,
76637,Africa,Nigeria,2020-03-20,12.0,4.0,,,211400704.0,,,,,0.0,
76638,Africa,Nigeria,2020-03-21,22.0,10.0,,,211400704.0,,,,,0.0,
76639,Africa,Nigeria,2020-03-22,30.0,8.0,,,211400704.0,,,,,0.0,
76640,Africa,Nigeria,2020-03-23,40.0,10.0,1.0,1.0,211400704.0,,,,2.5,0.0,0.0
76641,Africa,Nigeria,2020-03-24,44.0,4.0,1.0,0.0,211400704.0,,,,2.27,0.0,0.0
76642,Africa,Nigeria,2020-03-25,51.0,7.0,1.0,0.0,211400704.0,,,,1.96,0.0,0.0
76643,Africa,Nigeria,2020-03-26,65.0,14.0,1.0,0.0,211400704.0,,,,1.54,0.0,0.0
76644,Africa,Nigeria,2020-03-27,70.0,5.0,1.0,0.0,211400704.0,,,,1.43,0.0,0.0
76645,Africa,Nigeria,2020-03-28,89.0,19.0,1.0,0.0,211400704.0,,,,1.12,0.0,0.0
76646,Africa,Nigeria,2020-03-29,111.0,22.0,1.0,0.0,211400704.0,,,,0.9,0.0,0.0
76647,Africa,Nigeria,2020-03-30,131.0,20.0,2.0,1.0,211400704.0,,,,1.53,0.0,0.0
76648,Africa,Nigeria,2020-03-31,135.0,4.0,2.0,0.0,211400704.0,,,,1.48,0.0,0.0
76649,Africa,Nigeria,2020-04-01,174.0,39.0,2.0,0.0,211400704.0,,,,1.15,0.0,0.0
76650,Africa,Nigeria,2020-04-02,184.0,10.0,2.0,0.0,211400704.0,,,,1.09,0.0,0.0
76651,Africa,Nigeria,2020-04-03,210.0,26.0,4.0,2.0,211400704.0,,,,1.9,0.0,0.0
76652,Africa,Nigeria,2020-04-04,214.0,4.0,4.0,0.0,211400704.0,,,,1.87,0.0,0.0
76653,Africa,Nigeria,2020-04-05,232.0,18.0,5.0,1.0,211400704.0,,,,2.16,0.0,0.0
76654,Africa,Nigeria,2020-04-06,238.0,6.0,5.0,0.0,211400704.0,,,,2.1,0.0,0.0
76655,Africa,Nigeria,2020-04-07,254.0,16.0,6.0,1.0,211400704.0,,,,2.36,0.0,0.0
76656,Africa,Nigeria,2020-04-08,276.0,22.0,6.0,0.0,211400704.0,5000.0,,,2.17,0.0,0.0
76657,Africa,Nigeria,2020-04-09,288.0,12.0,7.0,1.0,211400704.0,,,,2.43,0.0,0.0
76658,Africa,Nigeria,2020-04-10,305.0,17.0,7.0,0.0,211400704.0,,,,2.3,0.0,0.0
76659,Africa,Nigeria,2020-04-11,318.0,13.0,10.0,3.0,211400704.0,,,,3.14,0.0,0.0
76660,Africa,Nigeria,2020-04-12,323.0,5.0,10.0,0.0,211400704.0,,,,3.1,0.0,0.0
76661,Africa,Nigeria,2020-04-13,343.0,20.0,10.0,0.0,211400704.0,,,,2.92,0.0,0.0
76662,Africa,Nigeria,2020-04-14,373.0,30.0,11.0,1.0,211400704.0,,,,2.95,0.0,0.0
76663,Africa,Nigeria,2020-04-15,407.0,34.0,12.0,1.0,211400704.0,,,,2.95,0.0,0.0
76664,Africa,Nigeria,2020-04-16,442.0,35.0,13.0,1.0,211400704.0,6649.0,,,2.94,0.0,0.0
76665,Africa,Nigeria,2020-04-17,493.0,51.0,17.0,4.0,211400704.0,7153.0,,,3.45,0.0,0.0
76666,Africa,Nigeria,2020-04-18,542.0,49.0,19.0,2.0,211400704.0,,,,3.51,0.0,0.0
76667,Africa,Nigeria,2020-04-19,627.0,85.0,21.0,2.0,211400704.0,,,,3.35,0.0,0.0
76668,Africa,Nigeria,2020-04-20,665.0,38.0,22.0,1.0,211400704.0,,,,3.31,0.0,0.0
76669,Africa,Nigeria,2020-04-21,665.0,0.0,22.0,0.0,211400704.0,,,,3.31,0.0,0.0
76670,Africa,Nigeria,2020-04-22,873.0,208.0,28.0,6.0,211400704.0,,,,3.21,0.0,0.0
76671,Africa,Nigeria,2020-04-23,981.0,108.0,31.0,3.0,211400704.0,10061.0,,,3.16,0.0,0.0
76672,Africa,Nigeria,2020-04-24,1095.0,114.0,32.0,1.0,211400704.0,,,,2.92,0.0,0.0
76673,Africa,Nigeria,2020-04-25,1182.0,87.0,35.0,3.0,211400704.0,10918.0,,,2.96,0.0,0.0
76674,Africa,Nigeria,2020-04-26,1273.0,91.0,40.0,5.0,211400704.0,,,,3.14,0.0,0.0
76675,Africa,Nigeria,2020-04-27,1337.0,64.0,40.0,0.0,211400704.0,,,,2.99,0.0,0.0
76676,Africa,Nigeria,2020-04-28,1532.0,195.0,44.0,4.0,211400704.0,12004.0,,,2.87,0.0,0.0
76677,Africa,Nigeria,2020-04-29,1728.0,196.0,51.0,7.0,211400704.0,12828.0,,,2.95,0.0,0.0
76678,Africa,Nigeria,2020-04-30,1932.0,204.0,58.0,7.0,211400704.0,,,,3.0,0.0,0.0
76679,Africa,Nigeria,2020-05-01,2170.0,238.0,68.0,10.0,211400704.0,15759.0,,,3.13,0.0,0.0
76680,Africa,Nigeria,2020-05-02,2388.0,218.0,85.0,17.0,211400704.0,,,,3.56,0.0,0.0
76681,Africa,Nigeria,2020-05-03,2558.0,170.0,87.0,2.0,211400704.0,16588.0,,,3.4,0.0,0.0
76682,Africa,Nigeria,2020-05-04,2802.0,244.0,93.0,6.0,211400704.0,18536.0,,,3.32,0.0,0.0
76683,Africa,Nigeria,2020-05-05,2950.0,148.0,98.0,5.0,211400704.0,19512.0,,,3.32,0.0,0.0
76684,Africa,Nigeria,2020-05-06,3145.0,195.0,103.0,5.0,211400704.0,21208.0,,,3.28,0.0,0.0
76685,Africa,Nigeria,2020-05-07,3526.0,381.0,107.0,4.0,211400704.0,22492.0,,,3.03,0.0,0.0
76686,Africa,Nigeria,2020-05-08,3912.0,386.0,117.0,10.0,211400704.0,23835.0,,,2.99,0.0,0.0
76687,Africa,Nigeria,2020-05-09,4151.0,239.0,128.0,11.0,211400704.0,,,,3.08,0.0,0.0
76688,Africa,Nigeria,2020-05-10,4399.0,248.0,143.0,15.0,211400704.0,,,,3.25,0.0,0.0
76689,Africa,Nigeria,2020-05-11,4641.0,242.0,150.0,7.0,211400704.0,27078.0,,,3.23,0.0,0.0
76690,Africa,Nigeria,2020-05-12,4787.0,146.0,158.0,8.0,211400704.0,28418.0,,,3.3,0.0,0.0
76691,Africa,Nigeria,2020-05-13,4971.0,184.0,164.0,6.0,211400704.0,29408.0,,,3.3,0.0,0.0
76692,Africa,Nigeria,2020-05-14,5162.0,191.0,167.0,3.0,211400704.0,30657.0,,,3.24,0.0,0.0
76693,Africa,Nigeria,2020-05-15,5450.0,288.0,171.0,4.0,211400704.0,,,,3.14,0.0,0.0
76694,Africa,Nigeria,2020-05-16,5621.0,171.0,176.0,5.0,211400704.0,32942.0,,,3.13,0.0,0.0
76695,Africa,Nigeria,2020-05-17,5959.0,338.0,182.0,6.0,211400704.0,33970.0,,,3.05,0.0,0.0
76696,Africa,Nigeria,2020-05-18,6175.0,216.0,191.0,9.0,211400704.0,35345.0,,,3.09,0.0,0.0
76697,Africa,Nigeria,2020-05-19,6401.0,226.0,192.0,1.0,211400704.0,36899.0,,,3.0,0.0,0.0
76698,Africa,Nigeria,2020-05-20,6677.0,276.0,200.0,8.0,211400704.0,38231.0,,,3.0,0.0,0.0
76699,Africa,Nigeria,2020-05-21,7016.0,339.0,211.0,11.0,211400704.0,,,,3.01,0.0,0.0
76700,Africa,Nigeria,2020-05-22,7261.0,245.0,221.0,10.0,211400704.0,41907.0,,,3.04,0.0,0.0
76701,Africa,Nigeria,2020-05-23,7526.0,265.0,221.0,0.0,211400704.0,43328.0,,,2.94,0.0,0.0
76702,Africa,Nigeria,2020-05-24,7839.0,313.0,226.0,5.0,211400704.0,44458.0,,,2.88,0.0,0.0
76703,Africa,Nigeria,2020-05-25,8068.0,229.0,233.0,7.0,211400704.0,45683.0,,,2.89,0.0,0.0
76704,Africa,Nigeria,2020-05-26,8344.0,276.0,249.0,16.0,211400704.0,46803.0,,,2.98,0.0,0.0
76705,Africa,Nigeria,2020-05-27,8733.0,389.0,254.0,5.0,211400704.0,48544.0,,,2.91,0.0,0.0
76706,Africa,Nigeria,2020-05-28,8915.0,182.0,259.0,5.0,211400704.0,49966.0,,,2.91,0.0,0.0
76707,Africa,Nigeria,2020-05-29,9302.0,387.0,261.0,2.0,211400704.0,58726.0,,,2.81,0.0,0.0
76708,Africa,Nigeria,2020-05-30,9855.0,553.0,273.0,12.0,211400704.0,60825.0,,,2.77,0.0,0.0
76709,Africa,Nigeria,2020-05-31,10162.0,307.0,287.0,14.0,211400704.0,,,,2.82,0.0,0.0
76710,Africa,Nigeria,2020-06-01,10578.0,416.0,299.0,12.0,211400704.0,63882.0,,,2.83,0.01,0.0
76711,Africa,Nigeria,2020-06-02,10819.0,241.0,314.0,15.0,211400704.0,65885.0,,,2.9,0.01,0.0
76712,Africa,Nigeria,2020-06-03,11166.0,347.0,315.0,1.0,211400704.0,69801.0,,,2.82,0.01,0.0
76713,Africa,Nigeria,2020-06-04,11516.0,350.0,323.0,8.0,211400704.0,71336.0,,,2.8,0.01,0.0
76714,Africa,Nigeria,2020-06-05,11844.0,328.0,333.0,10.0,211400704.0,73064.0,,,2.81,0.01,0.0
76715,Africa,Nigeria,2020-06-06,12233.0,389.0,342.0,9.0,211400704.0,74999.0,,,2.8,0.01,0.0
76716,Africa,Nigeria,2020-06-07,12486.0,253.0,354.0,12.0,211400704.0,76802.0,,,2.84,0.01,0.0
76717,Africa,Nigeria,2020-06-08,12801.0,315.0,361.0,7.0,211400704.0,78244.0,,,2.82,0.01,0.0
76718,Africa,Nigeria,2020-06-09,13464.0,663.0,365.0,4.0,211400704.0,79948.0,,,2.71,0.01,0.0
76719,Africa,Nigeria,2020-06-10,13873.0,409.0,382.0,17.0,211400704.0,82935.0,,,2.75,0.01,0.0
76720,Africa,Nigeria,2020-06-11,14554.0,681.0,387.0,5.0,211400704.0,85375.0,,,2.66,0.01,0.0
76721,Africa,Nigeria,2020-06-12,15181.0,627.0,399.0,12.0,211400704.0,,,,2.63,0.01,0.0
76722,Africa,Nigeria,2020-06-13,15682.0,501.0,407.0,8.0,211400704.0,90464.0,,,2.6,0.01,0.0
76723,Africa,Nigeria,2020-06-14,16085.0,403.0,420.0,13.0,211400704.0,92924.0,,,2.61,0.01,0.0
76724,Africa,Nigeria,2020-06-15,16658.0,573.0,424.0,4.0,211400704.0,94323.0,,,2.55,0.01,0.0
76725,Africa,Nigeria,2020-06-16,17148.0,490.0,455.0,31.0,211400704.0,96402.0,,,2.65,0.01,0.0
76726,Africa,Nigeria,2020-06-17,17735.0,587.0,469.0,14.0,211400704.0,,,,2.64,0.01,0.0
76727,Africa,Nigeria,2020-06-18,18480.0,745.0,475.0,6.0,211400704.0,106006.0,,,2.57,0.01,0.0
76728,Africa,Nigeria,2020-06-19,19147.0,667.0,487.0,12.0,211400704.0,108548.0,,,2.54,0.01,0.0
76729,Africa,Nigeria,2020-06-20,19808.0,661.0,506.0,19.0,211400704.0,111052.0,,,2.55,0.01,0.0
76730,Africa,Nigeria,2020-06-21,20244.0,436.0,518.0,12.0,211400704.0,113575.0,,,2.56,0.01,0.0
76731,Africa,Nigeria,2020-06-22,20919.0,675.0,525.0,7.0,211400704.0,115760.0,,,2.51,0.01,0.0
76732,Africa,Nigeria,2020-06-23,21371.0,452.0,533.0,8.0,211400704.0,117569.0,,,2.49,0.01,0.0
76733,Africa,Nigeria,2020-06-24,22020.0,649.0,542.0,9.0,211400704.0,120108.0,,,2.46,0.01,0.0
76734,Africa,Nigeria,2020-06-25,22614.0,594.0,549.0,7.0,211400704.0,122155.0,,,2.43,0.01,0.0
76735,Africa,Nigeria,2020-06-26,23298.0,684.0,554.0,5.0,211400704.0,,,,2.38,0.01,0.0
76736,Africa,Nigeria,2020-06-27,24077.0,779.0,558.0,4.0,211400704.0,127158.0,,,2.32,0.01,0.0
76737,Africa,Nigeria,2020-06-28,24567.0,490.0,565.0,7.0,211400704.0,130164.0,,,2.3,0.01,0.0
76738,Africa,Nigeria,2020-06-29,25133.0,566.0,573.0,8.0,211400704.0,132304.0,,,2.28,0.01,0.0
76739,Africa,Nigeria,2020-06-30,25694.0,561.0,590.0,17.0,211400704.0,134257.0,,,2.3,0.01,0.0
76740,Africa,Nigeria,2020-07-01,26484.0,790.0,603.0,13.0,211400704.0,138462.0,,,2.28,0.01,0.0
76741,Africa,Nigeria,2020-07-02,27110.0,626.0,616.0,13.0,211400704.0,141525.0,,,2.27,0.01,0.0
76742,Africa,Nigeria,2020-07-03,27564.0,454.0,628.0,12.0,211400704.0,144833.0,,,2.28,0.01,0.0
